y_true,y_pred
327.55,106.65633
325.89,107.45782
325.75,107.25291
338.32,106.13717
345.3,108.066414
335.59,106.62031
357.62,107.59258
352.99,106.601524
354.7,105.47549
347.27,106.764046
358.35,105.43636
358.42,106.4316
383.16,106.511055
386.48,106.38825
382.85,105.59887
389.55,107.121185
391.44,105.92461
383.76,105.368935
382.56,106.0922
394.77,105.40323
400.87,105.49895
390.41,106.01232
378.55,104.467415
362.3,106.10192
361.56,104.73363
365.03,105.46992
352.94,104.43798
336.19,104.048134
330.08,104.213936
320.51,105.65875
328.87,104.66878
359.51,104.51203
375.07,104.34727
383.61,104.15926
386.94,104.15511
375.47,103.063484
377.18,104.53117
399.52,103.836266
404.42,104.27874
411.57,103.243774
423.2,104.44763
435.79,104.25702
402.15,104.159966
398.82,105.08401
408.9,103.7952
394.8,104.16447
424.44,104.18431
457.33,102.29681
466.06,104.078545
475.37,102.954956
477.89,103.61118
479.0,103.754036
477.75,103.79534
479.75,103.43453
479.36,103.05298
475.26,105.65084
474.6,104.37983
482.28,103.73203
484.83,103.38247
483.34,104.76716
489.66,104.36428
477.59,105.054474
477.43,107.353386
474.88,105.12084
477.76,105.58337
504.25,105.407295
508.52,105.39388
507.82,104.28567
511.15,105.83238
511.57,104.8249
502.5,105.33309
508.29,104.75353
498.08,104.46102
514.04,103.27651
517.24,103.85192
511.98,104.61852
485.24,102.8653
461.46,104.57439
491.8,103.621895
519.71,102.82643
497.01,103.32372
505.97,103.47068
546.66,103.724815
569.64,103.57496
576.37,104.07722
591.06,103.60231
589.37,103.05929
592.58,103.66899
588.87,103.953285
584.65,105.17739
585.44,105.976326
588.78,104.88889
586.67,104.99694
589.33,104.17489
594.92,103.403786
586.23,104.14541
567.29,104.54959
584.72,103.66588
585.69,103.69123
593.85,103.498314
595.81,102.957085
601.09,104.010574
601.73,104.87536
619.41,103.70215
621.55,103.09333
622.21,103.35633
623.9,103.978325
628.52,104.77329
628.78,106.04147
623.09,107.22084
616.8,107.80726
621.59,108.521675
619.32,108.774284
626.5,109.47697
633.71,109.09236
632.0,109.30401
616.76,109.25991
624.51,109.12701
624.82,108.59752
624.09,109.348755
635.81,109.9655
631.46,109.36716
630.69,109.61164
645.16,109.38761
650.88,109.59558
640.81,108.74891
639.8,108.758385
602.72,110.10903
596.55,110.4272
597.26,110.5579
581.14,111.94622
566.34,111.475624
582.36,111.322525
593.98,111.56245
602.27,110.11202
594.99,110.444244
594.15,112.06244
598.07,110.920586
607.96,109.85027
610.86,109.65467
592.19,110.356346
592.94,111.21737
577.36,110.172005
600.16,110.47382
586.95,111.91437
633.02,112.8649
653.15,113.55724
649.16,114.68905
656.14,114.45239
654.97,115.850334
653.7,115.88552
659.26,115.24507
641.61,114.92698
667.6,116.25376
660.62,114.271034
630.23,114.461296
623.68,117.58673
615.33,116.51197
568.18,114.576645
577.06,115.04388
571.24,113.96558
583.42,114.89369
571.59,114.75742
525.14,115.11092
520.22,115.03316
524.58,116.09327
491.77,116.79618
485.72,116.098595
446.18,116.56784
446.26,117.51671
448.9,118.61157
448.06,117.91711
447.25,116.61026
443.97,117.27637
440.67,114.4765
441.46,116.111824
438.89,118.058395
454.43,118.6285
449.46,117.10463
440.17,117.47315
438.82,116.0514
428.96,114.31316
433.48,117.54362
436.4,116.3007
437.76,115.188194
449.38,117.05284
457.76,118.23885
447.64,119.632454
447.21,119.0524
440.29,117.57228
436.39,117.52328
458.6,117.104195
461.45,115.88304
500.46,114.54168
491.3,114.79834
487.92,114.80416
495.77,115.94551
498.17,115.80387
501.57,114.49067
479.64,114.86654
495.96,116.17663
527.4,117.006035
515.59,117.40739
458.79,116.336334
414.06,114.48031
421.12,115.115425
420.95,114.082726
365.18,116.26063
442.73,117.54081
453.09,116.64868
449.42,118.68446
460.5,117.31437
461.91,118.76522
447.53,119.96606
444.72,114.67888
437.14,119.75994
478.38,119.41112
